stop_id,stop_name,stop_lat,stop_lon
227,parada227,-7.129639378392760,-34.880662522155262
228,parada228,-7.136441514276778,-34.875858183020938
229,parada229,-7.167893681257187,-34.864624966919017
230,parada230,-7.167784008713193,-34.864373375848629
231,parada231,-7.122759443075390,-34.878786988021162
232,parada232,-7.122211265660352,-34.875932469349998
233,parada233,-7.123639938908459,-34.874006714675247
234,parada234,-7.124871346291528,-34.872092005534157
235,parada235,-7.125778085220854,-34.870298493556781
236,parada236,-7.124408018835703,-34.875747415891688
237,parada237,-7.126164769373884,-34.872768025604763
238,parada238,-7.127566229364792,-34.870412277316611
239,parada239,-7.127350080836817,-34.866958117173077
240,parada240,-7.128924125593029,-34.868142789075208
241,parada241,-7.130012839354034,-34.866344836204000
242,parada242,-7.129051121451353,-34.863351072523137
243,parada243,-7.129818366721612,-34.861730413762537
244,parada244,-7.131917874627591,-34.861341334839310
245,parada245,-7.131405889484777,-34.859574198024859
246,parada246,-7.136442688977709,-34.856289474859580
247,parada247,-7.136328328262171,-34.856174055401567
248,parada248,-7.136795020828699,-34.850758503673987
249,parada249,-7.138802766821294,-34.851135489274583
250,parada250,-7.137929823303301,-34.850533146323393
251,parada251,-7.138724176972245,-34.851093173912261
252,parada252,-7.141937254089392,-34.851598269508678
253,parada253,-7.145852171845919,-34.850679966866139
254,parada254,-7.141715331979694,-34.851460861396617
255,parada255,-7.146004694409227,-34.850227920575811
256,parada256,-7.146732614821375,-34.847715878338299
257,parada257,-7.148005013110296,-34.843596726540532
258,parada258,-7.148523846764020,-34.843067106111107
259,parada259,-7.150077357490815,-34.840975321152740
260,parada260,-7.150112152639152,-34.840702365457958
261,parada261,-7.154261257657290,-34.838649633752787
262,parada262,-7.152974944642553,-34.838479776663689
263,parada263,-7.157069490791804,-34.838543019730253
264,parada264,-7.157117463854740,-34.838387095169857
265,parada265,-7.160053412467592,-34.838493193190097
266,parada266,-7.160377503424053,-34.838207077249017
267,parada267,-7.123996626204701,-34.880258171312519
268,parada268,-7.124081224246465,-34.880100980219943
269,parada269,-7.124206383314306,-34.879971699479192
270,parada270,-7.119944763223505,-34.868417075931390
271,parada271,-7.119921978411495,-34.865737177366697
272,parada272,-7.119392627080839,-34.868503005286669
273,parada273,-7.119690856017676,-34.865795203440499
274,parada274,-7.119898112891977,-34.863439491824472
275,parada275,-7.119653578108236,-34.861761815737971
276,parada276,-7.119646943693430,-34.859696197709233
277,parada277,-7.119853825460503,-34.858376123849027
278,parada278,-7.119629405888529,-34.857561526582202
279,parada279,-7.119822414935421,-34.852634078717010
280,parada280,-7.119586155207380,-34.852533862335868
281,parada281,-7.119797008961713,-34.848252435811247
282,parada282,-7.119563168146327,-34.848723274425168
283,parada283,-7.119767346071271,-34.845440482691323
284,parada284,-7.119527194327395,-34.844783115965782
285,parada285,-7.119736788702525,-34.842486415283368
286,parada286,-7.119526117452867,-34.841553171472988
287,parada287,-7.119736957540734,-34.839404409629793
288,parada288,-7.119472975612966,-34.838251773398540
289,parada289,-7.119697585355942,-34.835282388198863
290,parada290,-7.119455455076946,-34.835673946094843
291,parada291,-7.119643639957908,-34.832441783452033
292,parada292,-7.119403231381313,-34.832342481570251
293,parada293,-7.119376440667403,-34.828910922904292
294,parada294,-7.119606905807392,-34.829499320698957
295,parada295,-7.119570846784918,-34.826832340287652
296,parada296,-7.119330410748708,-34.826811840700643
297,parada297,-7.119524302613589,-34.824383226228747
298,parada298,-7.112041063117458,-34.827717852290156
299,parada299,-7.112079343449098,-34.828144925777323
300,parada300,-7.113242704035567,-34.830493527890503
301,parada301,-7.114840604684955,-34.833720529965490
302,parada302,-7.115088200358186,-34.833739557872690
303,parada303,-7.116909549843368,-34.837905961451781
304,parada304,-7.117080160919548,-34.837733332621518
305,parada305,-7.118220605998505,-34.840558123206669
306,parada306,-7.119096694354456,-34.842386705211808
307,parada307,-7.121036664243335,-34.876109966318971
308,parada308,-7.121432818585386,-34.874067318732251
309,parada309,-7.121951039826940,-34.873459175685142
310,parada310,-7.122664656942646,-34.871428941469738
311,parada311,-7.123089674671375,-34.871060521559542
312,parada312,-7.124314708129720,-34.867934193987942
313,parada313,-7.124179708670639,-34.868751999949090
314,parada314,-7.125103667681485,-34.866762279761737
315,parada315,-7.125477728480103,-34.865491580404353
316,parada316,-7.126104210225819,-34.864691441049793
317,parada317,-7.126222432065489,-34.863952656095726
318,parada318,-7.127120557824006,-34.862560632186863
319,parada319,-7.127439189347198,-34.861391629460087
320,parada320,-7.128245775752195,-34.860191665473018
321,parada321,-7.129232129947745,-34.858096970701247
322,parada322,-7.128973791628848,-34.858166444791607
323,parada323,-7.129449653834646,-34.854364270414720
324,parada324,-7.129761898728334,-34.855519978615227
325,parada325,-7.127712242366898,-34.853041949928077
326,parada326,-7.127949049512248,-34.852944594385981
327,parada327,-7.126970294233951,-34.851160952689114
328,parada328,-7.127232781635138,-34.851303377142543
329,parada329,-7.124959828215701,-34.848012516621459
330,parada330,-7.124713413484144,-34.846478615144278
331,parada331,-7.124933784663479,-34.844562481832838
332,parada332,-7.125218433133850,-34.848010175288699
333,parada333,-7.125317367153199,-34.841500133165141
334,parada334,-7.125520166096610,-34.841888255395048
335,parada335,-7.125669556461228,-34.839124182694903
336,parada336,-7.125431086522125,-34.836621404657592
337,parada337,-7.125611091765225,-34.835050480127663
338,parada338,-7.124840356353990,-34.832557096119473
339,parada339,-7.125034851768301,-34.832468784166643
340,parada340,-7.125073731354994,-34.828529279953187
341,parada341,-7.124758172259704,-34.828980507974499
342,parada342,-7.100229933407923,-34.859748056608368
343,parada343,-7.099837575836445,-34.860691160178753
344,parada344,-7.101599556256339,-34.861665883643226
345,parada345,-7.102969782421830,-34.863320874584034
346,parada346,-7.101059457546729,-34.863340897683898
347,parada347,-7.102834467209636,-34.864269563819782
348,parada348,-7.105028674038238,-34.865941304051702
349,parada349,-7.105932400022849,-34.866782886381628
350,parada350,-7.106227882880741,-34.868918576941603
351,parada351,-7.106874173503222,-34.867950168847798
352,parada352,-7.108046187987631,-34.869404010890648
353,parada353,-7.112274055586107,-34.871354253659362
354,parada354,-7.112536726774008,-34.871326813110549
355,parada355,-7.114905694631323,-34.873478710533767
356,parada356,-7.114814572942224,-34.873061672929907
357,parada357,-7.096923301207196,-34.856787496773897
